"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu03250","Viral life cycle - HIV-1 - Mus musculus (house mouse)","40/4686","63/9787",0.00893591657160843,0.0184675609146574,0.00786702702955,"20479/12767/107951/17754/57314/70122/24116/19384/16543/12504/12121/19428/22088/18550/319236/209387/13716/270058/69550/116733/23988/235180/18571/12774/20587/268373/103573/20922/15239/76895/192657/218442/17755/80287/328572/17857/17858/27632/18519/64144",40
"mmu04330","Notch signaling pathway - Mus musculus (house mouse)","40/4686","63/9787",0.00893591657160843,0.0184675609146574,0.00786702702955,"59287/19165/18128/66935/54485/16449/16396/15213/226548/18129/21885/56198/433759/56381/13016/19664/20602/18223/66340/270118/208117/15214/80904/103806/19719/11491/19164/18222/16450/20238/17305/328572/13544/15205/209200/13388/18131/18132/18519/207521",40
"mmu05162","Measles - Mus musculus (house mouse)","84/4686","145/9787",0.00918691654098533,0.0188719189185301,0.00803928016902965,"20846/12370/12487/12043/56489/14130/23797/71586/22034/228607/12048/18706/24088/56417/26409/230073/21898/16476/18710/12371/12571/68098/26414/246728/246727/23960/246730/15467/13063/13666/12122/12444/12576/170770/18036/12447/54131/12028/54123/14082/12443/16150/12367/13000/71609/17874/68652/21929/11783/56480/12567/20847/12566/14694/26420/22059/20850/20848/18035/13665/14281/11651/18708/26419/16391/16185/266632/56637/208650/15975/17857/17858/15511/193740/13001/19106/19697/12015/14102/12675/16151/17698/16186/56382",84
"mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)","137/4686","247/9787",0.00933084987349373,0.0190528132147387,0.00811633963152938,"16177/12912/23797/21808/16169/99152/26427/12048/13555/21939/18019/18706/12428/110196/74343/19055/18749/21894/12913/21812/66440/16476/12580/18710/16818/17701/52206/26414/59008/19384/17120/100683/208647/231991/12504/17000/21937/12444/19428/21803/22695/12447/12028/75430/16408/15461/12443/22335/16150/11739/382056/16168/18747/12317/11513/18021/234729/18186/15894/23871/17127/26395/70549/245000/21813/13654/21423/208677/26396/18045/12567/12566/19058/103573/30939/26420/12330/22333/22059/20850/26406/66156/104111/18035/14281/21809/11651/13557/17702/21752/18708/19056/22334/26419/104110/73181/19057/19645/11514/16185/11911/328572/12257/11512/11515/19385/13383/224129/23872/21374/12575/14972/14998/14999/12915/14964/15006/15015/110557/15018/15007/15039/14963/20807/18519/52563/13653/17128/18018/19697/19211/12675/13712/11740/11798/16151/16186",137
"mmu04728","Dopaminergic synapse - Mus musculus (house mouse)","79/4686","136/9787",0.0103264994354986,0.0209603351637204,0.00892892808332585,"12912/23797/226849/16574/16519/26427/18795/18798/14683/14696/14679/108058/19055/18749/12913/14700/19046/269643/26414/19047/14699/66066/208647/231991/14701/16438/12288/14695/16439/18752/12315/109689/11865/110877/18747/12286/14681/16521/13489/73699/14697/235542/14678/19054/208677/12323/13195/26420/216869/18750/26932/14281/12313/26931/11651/14706/14702/19056/12325/12289/26419/71978/19057/11911/29857/19094/12846/224129/56637/51792/16440/26416/12915/12314/16573/12322/225849/14682/109731",79
"mmu00100","Steroid biosynthesis - Mus musculus (house mouse)","15/4686","20/9787",0.0128427845148014,0.0259135474529426,0.0110389552353946,"15490/74754/13121/244209/13360/66234/235293/16987/14137/20775/223920/73166/16889/13595/18194",15
"mmu04912","GnRH signaling pathway - Mus musculus (house mouse)","54/4686","90/9787",0.0136062452063874,0.027292527149283,0.0116263890927645,"12292/329502/18795/18798/14683/18805/108058/18749/16476/12540/26414/16438/12288/16439/12315/15461/18747/11513/17390/26395/26396/14672/12323/13649/26420/26397/23939/26406/18750/104111/20663/12313/12325/12289/26419/17387/104110/19229/11514/11911/29857/19094/11512/11515/224129/26407/16440/26416/12314/13653/15200/12322/14682/13712",54
"mmu05211","Renal cell carcinoma - Mus musculus (house mouse)","43/4686","70/9787",0.0153692927538629,0.0306487066027324,0.0130560935674551,"23797/21808/107746/214230/18706/11863/16476/18710/12540/15234/19247/17295/21802/22346/21803/112406/70584/11864/18479/15461/14388/112405/23871/26395/26396/215449/216805/112407/20663/21809/11651/18708/18591/56438/328572/12575/22339/13819/71745/12015/209446/11836/18481",43
"mmu04964","Proximal tubule bicarbonate reclamation - Mus musculus (house mouse)","16/4686","22/9787",0.0161674582626775,0.0316883834901704,0.0134989872561923,"14660/11931/18534/11928/54403/11826/11936/76257/216456/17449/11932/12351/27376/105243/14661/74551",16
"mmu05218","Melanoma - Mus musculus (house mouse)","44/4686","72/9787",0.0161694390829608,0.0316883834901704,0.0134989872561923,"23797/13555/18706/54635/13645/18710/12571/15234/18595/18590/17295/17342/14177/12028/56636/16001/15461/12443/14182/12550/71785/26395/67112/17873/26396/16000/17246/12567/13649/14172/22059/11651/13557/18708/14165/14180/19645/18591/12575/18596/12015/19211/11836/80903",44
"mmu05223","Non-small cell lung cancer - Mus musculus (house mouse)","44/4686","72/9787",0.0161694390829608,0.0316883834901704,0.0134989872561923,"20183/23797/20181/16574/13555/58231/18706/13645/18710/12371/12571/15234/17295/21802/19713/18752/12028/15461/12443/234779/26395/56484/17873/26396/12567/13649/22059/13866/20850/20848/18750/20663/11651/13557/18708/218772/14198/19645/18607/12575/78798/16573/12015/11836",44
"mmu00514","Other types of O-glycan biosynthesis - Mus musculus (house mouse)","28/4686","43/9787",0.0169458402791504,0.032673162267593,0.0139184948076179,"269132/99011/14425/14595/53418/20441/231050/212996/26433/381694/94192/101351/232313/233733/108150/234407/108148/80294/19719/108760/217734/78754/17305/20440/268880/14423/59048/108155",28
"mmu00380","Tryptophan metabolism - Mus musculus (house mouse)","33/4686","52/9787",0.0169593833471084,0.032673162267593,0.0139184948076179,"11761/71724/266645/56752/98256/209692/70266/70789/12359/56720/15107/229905/72535/97212/11669/21743/209176/15930/23923/270076/13077/237320/13195/11671/13382/78920/74147/224530/110460/13078/107766/110695/109731",33
"mmu02010","ABC transporters - Mus musculus (house mouse)","33/4686","52/9787",0.0169593833471084,0.032673162267593,0.0139184948076179,"74591/11305/27413/19299/11303/18671/18669/18670/74610/27405/56325/26357/20928/27421/20927/13214/192663/27403/76408/27404/217262/76184/217265/239273/17250/27416/27410/21354/21355/224814/27409/67470/12780",33
"mmu00590","Arachidonic acid metabolism - Mus musculus (house mouse)","53/4686","89/9787",0.0174679023357307,0.0334637904296864,0.0142552958150848,"19225/19215/96979/19224/329502/19223/66350/71519/100066/13110/74519/13109/277753/13118/13119/13117/666168/100040843/18782/18784/66469/665270/11689/13088/13094/13106/15446/69836/23887/625249/16993/56351/11684/12409/77219/13850/53357/12408/109857/225845/72082/13095/13097/13098/545288/433247/13099/100043108/13096/404195/107141/226105/226143",53
"mmu04924","Renin secretion - Mus musculus (house mouse)","46/4686","76/9787",0.0177500434630003,0.033685942825643,0.0143499308842066,"12912/12292/18573/18795/18798/14683/13616/54195/60596/18160/14679/19055/12722/18749/230899/109305/11826/11517/18575/16438/12288/54611/16439/12315/18576/11556/18747/11606/234889/14678/19058/11421/16518/12313/11607/13614/19056/12289/13030/19057/11512/224129/16440/12314/14682/11554",46
"mmu01523","Antifolate resistance - Mus musculus (house mouse)","20/4686","29/9787",0.0177814360956473,0.033685942825643,0.0143499308842066,"108147/14287/17769/22171/26357/16150/20509/108037/20425/11684/52466/76408/13361/239273/17250/27416/19697/12780/12675/16151",20
"mmu00640","Propanoate metabolism - Mus musculus (house mouse)","21/4686","31/9787",0.0203504688508109,0.0383398335808094,0.0163324495574987,"68738/60525/13171/97212/80911/100705/56451/20917/16832/16828/12040/66904/52665/380660/107476/11430/13382/20916/268860/74147/17850",21
"mmu00785","Lipoic acid metabolism - Mus musculus (house mouse)","14/4686","19/9787",0.020576612411301,0.0384213103664607,0.0163671579891081,"209692/13171/117147/68133/235339/12040/434437/18293/13382/78920/68263/239017/104174/18597",14
