"","Genename","Heart_ZT0_1","Heart_ZT0_2","Heart_ZT12_1","Heart_ZT12_2","Liver_ZT0_1","Liver_ZT0_2","Liver_ZT12_1","Liver_ZT12_2"
"ENSMUSG00000056617.13","4931429L15Rik",1,0,1,0,2,5,0,0
"ENSMUSG00000032076.21","Cadm1",77,52,78,28,434,785,270,175
"ENSMUSG00000044229.10","Nxpe4",356,315,473,198,24,38,39,46
"ENSMUSG00000032026.8","Rexo2",1191,847,1034,406,1343,1669,831,647
"ENSMUSG00000042396.11","Rbm7",512,416,470,203,408,933,651,514
"ENSMUSG00000042293.9","Gm5617",213,168,205,79,109,173,104,129
"ENSMUSG00000032271.14","Nnmt",67,42,58,33,3793,7086,1773,1778
"ENSMUSG00000066687.6","Zbtb16",1652,2619,2360,1030,284,525,335,82
"ENSMUSG00000032267.9","Usp28",3918,3472,4502,1715,95,156,151,92
"ENSMUSG00000032264.10","Zw10",695,576,438,134,305,434,148,127
"ENSMUSG00000032268.14","Tmprss5",7,11,13,4,5,2,0,1
"ENSMUSG00000032259.9","Drd2",64,55,43,26,0,0,0,0
"ENSMUSG00000032257.7","Ankk1",4,3,3,1,0,0,0,0
"ENSMUSG00000040219.5","Ttc12",597,472,802,312,10,8,10,2
"ENSMUSG00000039542.17","Ncam1",47,36,59,32,6,8,4,0
"ENSMUSG00000058443.6","Rpl10-ps3",8,1,4,5,4,8,1,1
"ENSMUSG00000032067.7","Pts",825,627,869,371,347,592,428,550
"ENSMUSG00000032066.10","Bco2",8,7,17,3,384,496,214,220
"ENSMUSG00000039217.14","Il18",21,5,13,4,153,228,175,131
"ENSMUSG00000000171.6","Sdhd",14405,11377,13303,5307,3968,6261,3481,3510
"ENSMUSG00000039016.6","Timm8b",1949,1551,1717,614,488,911,498,506
"ENSMUSG00000059820.15","Nkapd1",354,263,314,104,174,319,138,119
"ENSMUSG00000000167.15","Pih1d2",8,6,15,0,13,19,13,2
"ENSMUSG00000000168.11","Dlat",13118,10868,12968,5095,554,799,476,418
"ENSMUSG00000032064.18","Dixdc1",179,128,419,195,274,331,235,189
"ENSMUSG00000032062.4","2310030G06Rik",77,62,100,36,333,492,218,163
"ENSMUSG00000038086.5","Hspb2",318,204,233,99,3,6,0,4
"ENSMUSG00000032060.11","Cryab",58853,42615,41215,13996,100,130,35,46
"ENSMUSG00000037971.11","Cfap68",267,161,276,106,474,675,400,390
"ENSMUSG00000032059.14","Alg9",294,262,266,83,345,471,232,170
"ENSMUSG00000032058.15","Ppp2r1b",620,499,601,195,512,686,369,265
"ENSMUSG00000037112.17","Sik2",518,367,475,131,94,162,99,62
"ENSMUSG00000060594.7","Layn",98,85,79,26,12,7,14,9
"ENSMUSG00000032053.9","Pou2af1",13,14,32,14,2,1,5,6
"ENSMUSG00000079559.6","Pou2af3",22,19,36,9,2,4,1,0
"ENSMUSG00000036027.15","Pou2af2",0,1,8,2,8,14,19,33
"ENSMUSG00000053199.14","Arhgap20",93,102,200,67,1,0,0,0
"ENSMUSG00000032051.10","Fdx1",1581,1096,1290,499,829,1137,987,1041
"ENSMUSG00000032050.19","Rdx",4235,3425,4143,1482,2859,5045,2911,1816
"ENSMUSG00000035164.9","Zc3h12c",410,359,389,112,68,165,109,74
"ENSMUSG00000078307.4","AI593442",23,21,56,11,0,0,0,0
"ENSMUSG00000053289.9","Ddx10",362,266,402,133,265,361,140,101
"ENSMUSG00000034584.4","Exph5",7,9,4,0,175,442,175,121
"ENSMUSG00000034487.5","Poglut3",342,265,318,115,147,273,126,87
"ENSMUSG00000005131.5","4930550C14Rik",8,8,9,2,2,2,1,0
"ENSMUSG00000034218.17","Atm",445,355,517,195,131,245,150,103
"ENSMUSG00000033054.8","Npat",356,328,440,159,83,195,84,47
"ENSMUSG00000032047.6","Acat1",18634,14965,19680,8341,7121,10556,6792,5963
"ENSMUSG00000032030.18","Cul5",1820,1533,1741,736,364,544,262,234
"ENSMUSG00000055069.4","Rab39",8,6,8,4,6,15,16,12
"ENSMUSG00000042195.10","Slc35f2",1,4,3,1,10,17,35,15
"ENSMUSG00000042045.7","Sln",77,6,0,6,0,0,0,0
"ENSMUSG00000041986.18","Elmod1",4,3,2,0,0,0,1,0
"ENSMUSG00000074345.5","Tnfaip8l3",5,2,3,11,2,1,8,5
"ENSMUSG00000046167.6","Gldn",0,0,4,0,7,17,11,1
"ENSMUSG00000041268.18","Dmxl2",1454,1274,1505,529,369,766,388,316
"ENSMUSG00000037493.7","Cib2",26,19,17,9,95,127,56,62
"ENSMUSG00000032279.12","Idh3a",17766,14271,15893,6459,673,1116,568,458
"ENSMUSG00000032281.12","Acsbg1",10,16,3,9,1,2,1,0
"ENSMUSG00000032285.16","Dnaja4",2967,2272,2172,705,66,135,35,13
"ENSMUSG00000061559.16","Skic8",566,452,557,216,806,1320,790,651
"ENSMUSG00000032293.9","Ireb2",1342,1037,1495,580,1372,3035,1325,950
"ENSMUSG00000035878.14","Hykk",65,54,102,44,1139,1705,1614,978
"ENSMUSG00000044820.7","AY074887",0,0,0,0,2,0,2,2
"ENSMUSG00000032301.14","Psma4",2233,1795,2330,815,2078,3054,1458,1246
"ENSMUSG00000032307.17","Ube2q2",980,831,1086,426,324,614,375,282
"ENSMUSG00000032309.16","Fbxo22",417,397,439,116,271,431,285,179
"ENSMUSG00000032311.18","Nrg4",36,26,59,12,38,77,102,133
"ENSMUSG00000032313.12","Tmem266",116,118,156,49,13,15,15,13
"ENSMUSG00000032314.15","Etfa",17577,14171,18353,7217,5007,8019,4200,3936
"ENSMUSG00000034007.11","Scaper",572,497,752,273,127,156,119,64
"ENSMUSG00000032320.8","Rcn2",1117,844,1073,407,118,139,109,69
"ENSMUSG00000032322.15","Pstpip1",49,64,54,16,18,11,7,3
"ENSMUSG00000032324.12","Tspan3",4995,4044,4861,1974,52,87,75,27
"ENSMUSG00000074305.10","Peak1",1334,1120,1507,499,237,384,186,96
"ENSMUSG00000032329.5","Hmg20a",984,812,947,343,303,424,218,134
"ENSMUSG00000049556.6","Lingo1",20,13,22,12,1,5,1,7
"ENSMUSG00000045620.8","Cimap1c",4,2,1,1,0,0,0,0
"ENSMUSG00000032911.7","Cspg4",865,647,1185,335,1,8,1,0
"ENSMUSG00000032733.7","Snx33",327,219,360,164,335,419,148,144
"ENSMUSG00000032288.10","Imp3",590,442,735,242,711,624,407,322
"ENSMUSG00000055334.5","Snupn",303,215,291,79,136,135,85,64
"ENSMUSG00000032290.8","Ptpn9",230,200,221,74,124,202,75,56
"ENSMUSG00000042557.15","Sin3a",276,190,283,93,80,177,82,78
