"","Genename","Heart_ZT0_1","Heart_ZT0_2","Heart_ZT12_1","Heart_ZT12_2","Liver_ZT0_1","Liver_ZT0_2","Liver_ZT12_1","Liver_ZT12_2"
"ENSMUSG00000020566.20","Atp6v1c2",6,5,7,1,18,30,0,3
"ENSMUSG00000061458.10","Nol10",343,242,230,80,192,207,73,51
"ENSMUSG00000011179.9","Odc1",2126,1934,1690,546,1959,2683,895,854
"ENSMUSG00000071379.3","Hpcal1",298,275,447,111,201,220,194,111
"ENSMUSG00000073197.10","5730507C01Rik",0,8,1,2,4,3,4,5
"ENSMUSG00000052632.17","Asap2",396,314,310,95,95,159,9,6
"ENSMUSG00000062352.16","Itgb1bp1",630,468,506,155,169,253,143,143
"ENSMUSG00000054309.10","Cpsf3",956,769,947,322,710,1060,469,360
"ENSMUSG00000062054.8","Iah1",364,281,287,115,2208,2556,1576,1246
"ENSMUSG00000052593.17","Adam17",1691,1319,1210,486,406,719,233,133
"ENSMUSG00000076432.14","Ywhaq",872,700,741,293,628,1060,547,431
"ENSMUSG00000073158.5","9030624G23Rik",12,4,18,3,8,15,3,6
"ENSMUSG00000059669.9","Taf1b",233,201,316,107,66,82,81,75
"ENSMUSG00000020656.17","Grhl1",12,23,19,12,16,40,22,13
"ENSMUSG00000020653.13","Klf11",607,433,487,107,243,298,117,69
"ENSMUSG00000062563.16","Cys1",216,151,202,87,89,58,67,69
"ENSMUSG00000020649.12","Rrm2",52,42,79,26,65,73,58,69
"ENSMUSG00000020646.18","Mboat2",248,177,257,116,0,2,3,0
"ENSMUSG00000036333.12","Kidins220",3300,2903,3333,1261,1019,1650,772,525
"ENSMUSG00000020644.10","Id2",218,207,158,75,3406,6961,1486,974
"ENSMUSG00000020642.14","Rnf144a",586,528,729,149,132,278,30,21
"ENSMUSG00000020641.17","Rsad2",963,885,1596,381,352,616,210,97
"ENSMUSG00000020638.9","Cmpk2",408,332,341,102,229,372,82,55
"ENSMUSG00000063632.7","Sox11",5,1,3,0,0,0,0,0
"ENSMUSG00000036655.9","Colec11",532,376,787,230,524,765,608,402
"ENSMUSG00000061477.5","Rps7",4593,3809,4460,1529,2695,4257,2606,2408
"ENSMUSG00000020630.10","Rnaseh1",237,198,212,62,106,127,68,60
"ENSMUSG00000020629.13","Adi1",1122,945,1116,434,2208,3316,2617,2433
"ENSMUSG00000020628.17","Trappc12",808,624,915,365,366,641,349,290
"ENSMUSG00000036613.9","Eipr1",221,185,217,98,272,325,120,87
"ENSMUSG00000061911.16","Myt1l",0,3,1,1,0,0,0,0
"ENSMUSG00000020674.18","Pxdn",2157,1628,2642,759,142,219,136,54
"ENSMUSG00000020672.15","Sntg2",10,2,6,3,192,270,121,109
"ENSMUSG00000043061.11","Tmem18",432,334,364,138,233,422,206,166
"ENSMUSG00000054204.7","Alkal2",29,20,12,3,2,2,0,0
"ENSMUSG00000044573.17","Acp1",612,472,637,234,918,1361,838,668
"ENSMUSG00000020669.16","Sh3yl1",23,31,40,16,130,181,122,78
"ENSMUSG00000036136.10","Fam110c",0,2,5,0,4,11,18,8
"ENSMUSG00000002900.18","Lamb1",3455,2891,3155,1151,191,239,168,102
"ENSMUSG00000020664.11","Dld",14163,11667,14013,5714,1975,3731,1813,1571
"ENSMUSG00000001225.13","Slc26a3",26,25,36,13,0,0,2,0
"ENSMUSG00000020659.18","Cbll1",239,156,218,67,116,205,76,41
"ENSMUSG00000020651.9","Slc26a4",4,9,5,4,5,3,6,6
"ENSMUSG00000020650.16","Bcap29",1072,826,1174,493,137,220,193,162
"ENSMUSG00000020648.4","Dus4l",244,171,237,90,52,82,63,39
"ENSMUSG00000035933.6","Cog5",1120,919,1013,427,103,271,150,75
"ENSMUSG00000002996.18","Hbp1",388,298,597,222,210,560,303,182
"ENSMUSG00000002997.16","Prkar2b",69,88,90,21,9,24,9,15
"ENSMUSG00000020573.18","Pik3cg",73,89,106,37,13,19,20,5
"ENSMUSG00000090946.4","Ccdc71l",467,375,506,242,68,95,69,41
"ENSMUSG00000020572.9","Nampt",5527,4630,7241,3419,750,1466,1937,1627
"ENSMUSG00000020570.16","Sypl1",2382,2028,2424,885,748,1371,698,596
"ENSMUSG00000035860.10","Cdhr3",20,22,18,4,0,0,0,0
"ENSMUSG00000020564.18","Atxn7l1",416,316,345,122,160,222,65,50
"ENSMUSG00000020561.9","Polr1f",256,184,259,104,198,393,179,168
"ENSMUSG00000035799.7","Twist1",54,16,21,13,1,3,3,3
"ENSMUSG00000004698.12","Hdac9",921,577,824,314,12,32,19,20
"ENSMUSG00000020590.17","Snx13",2742,2201,2885,1118,442,1102,487,319
"ENSMUSG00000019256.18","Ahr",219,181,359,121,456,1510,408,276
"ENSMUSG00000020581.12","Agr2",0,0,0,0,0,0,17,8
"ENSMUSG00000020577.18","Tspan13",1315,1005,1673,643,26,32,19,16
"ENSMUSG00000020547.6","Bzw2",4467,3698,4292,1578,145,185,120,101
"ENSMUSG00000036188.5","Ankmy2",374,273,449,165,113,165,112,96
"ENSMUSG00000036169.7","Sostdc1",6,0,0,3,0,0,3,0
"ENSMUSG00000043153.7","Crppa",151,98,186,56,34,74,37,24
"ENSMUSG00000036144.7","Meox2",311,222,306,138,1,1,0,0
"ENSMUSG00000050103.19","Agmo",105,80,140,64,820,1533,753,797
"ENSMUSG00000036095.12","Dgkb",38,36,55,20,2,1,1,0
"ENSMUSG00000004151.18","Etv1",265,203,311,139,7,11,16,5
"ENSMUSG00000047446.19","Arl4a",448,364,517,197,859,1491,286,306
"ENSMUSG00000002565.17","Scin",43,22,99,58,0,1,13,1
"ENSMUSG00000071342.6","Lsmem1",396,305,526,194,1,0,0,1
"ENSMUSG00000001627.13","Ifrd1",1425,1076,851,249,213,334,210,199
"ENSMUSG00000055917.16","Zfp277",315,254,386,119,193,308,225,204
"ENSMUSG00000035954.11","Dock4",757,595,724,245,497,812,336,280
"ENSMUSG00000056899.11","Immp2l",271,226,305,101,675,827,277,274
"ENSMUSG00000014905.5","Dnajb9",1285,1048,1143,465,1975,3046,785,584
"ENSMUSG00000036257.16","Pnpla8",4659,3763,4714,1752,1769,3621,2152,1678
"ENSMUSG00000020598.17","Nrcam",5,11,13,7,1,1,2,0
"ENSMUSG00000046314.17","Stxbp6",181,100,220,90,276,415,238,197
"ENSMUSG00000021047.8","Nova1",257,98,172,34,5,0,1,0
"ENSMUSG00000002688.9","Prkd1",221,172,260,87,7,15,4,6
"ENSMUSG00000035293.14","G2e3",180,151,157,73,62,105,55,23
"ENSMUSG00000020952.11","Scfd1",684,477,539,245,785,1423,567,397
"ENSMUSG00000020953.18","Coch",10,6,5,1,0,2,0,1
"ENSMUSG00000020954.17","Strn3",3788,3092,3081,1031,294,733,324,230
"ENSMUSG00000020955.10","Ap4s1",1001,884,1100,434,168,181,104,100
"ENSMUSG00000035247.18","Hectd1",5454,4832,6117,2094,2027,3947,2488,1354
"ENSMUSG00000035181.7","Heatr5a",1628,1265,1474,518,273,632,176,132
"ENSMUSG00000020956.15","Dtd2",193,156,224,92,228,271,169,151
"ENSMUSG00000035142.19","Nubpl",327,252,330,136,167,260,152,168
"ENSMUSG00000061603.9","Akap6",7999,6867,7584,2801,10,6,3,5
"ENSMUSG00000021010.10","Npas3",4,2,5,0,2,2,0,0
"ENSMUSG00000035105.6","Egln3",5316,4193,1848,583,229,288,188,144
"ENSMUSG00000044408.8","Sptssa",598,472,824,262,431,717,670,640
"ENSMUSG00000054302.17","Eapp",671,453,606,235,346,650,327,254
"ENSMUSG00000005656.10","Snx6",782,604,775,251,330,478,241,200
"ENSMUSG00000062929.9","Cfl2",8632,6479,8002,3047,759,1194,647,582
"ENSMUSG00000035021.15","Baz1a",384,383,370,132,204,556,160,101
"ENSMUSG00000062198.6","2700097O09Rik",322,222,281,79,116,119,48,57
"ENSMUSG00000073079.7","Srp54a",160,161,159,71,16,56,24,11
"ENSMUSG00000112449.2","Srp54b",51,65,112,11,6,2,3,54
"ENSMUSG00000094103.3","Fam177a2",4,5,1,23,0,0,1,0
"ENSMUSG00000079108.7","Srp54c",309,262,361,171,85,147,34,43
"ENSMUSG00000021022.10","Ppp2r3c",426,309,415,198,109,200,104,86
"ENSMUSG00000021023.15","Prorp",217,177,296,94,196,322,160,149
"ENSMUSG00000021024.15","Psma6",2596,1933,2433,977,2115,2913,1366,1321
"ENSMUSG00000021025.9","Nfkbia",703,592,1110,466,572,604,406,243
"ENSMUSG00000021027.19","Ralgapa1",3673,3102,3613,1392,182,272,133,102
"ENSMUSG00000012076.9","Brms1l",608,490,526,191,99,116,58,34
"ENSMUSG00000021028.9","Mbip",184,150,259,85,60,92,58,37
"ENSMUSG00000058669.8","Nkx2-9",1,2,3,0,0,0,0,0
"ENSMUSG00000001497.19","Pax9",1,0,3,1,11,10,4,1
"ENSMUSG00000035472.15","Slc25a21",0,2,1,1,249,222,163,166
"ENSMUSG00000047022.19","Mipol1",290,202,317,93,288,429,219,132
"ENSMUSG00000035451.8","Foxa1",0,0,0,0,243,295,223,200
"ENSMUSG00000046782.15","Ttc6",0,0,0,0,49,47,25,26
"ENSMUSG00000035431.6","Sstr1",1,1,3,0,0,0,0,0
"ENSMUSG00000045930.4","Clec14a",751,550,844,311,177,219,150,107
"ENSMUSG00000020986.14","Sec23a",1240,1012,1152,463,562,1570,797,577
"ENSMUSG00000060121.16","Gemin2",206,141,188,44,225,262,277,276
"ENSMUSG00000020993.10","Trappc6b",1155,933,1143,439,375,568,339,266
"ENSMUSG00000020994.6","Pnn",1161,857,1068,358,595,712,206,174
"ENSMUSG00000021000.18","Mia2",1943,1509,2416,1058,4240,6397,5525,4289
"ENSMUSG00000035329.8","Fbxo33",221,162,160,64,242,487,170,145
"ENSMUSG00000035653.17","Lrfn5",3,3,2,1,1,1,0,0
"ENSMUSG00000047227.6","Gm527",45,36,23,16,29,88,10,9
"ENSMUSG00000020948.10","Klhl28",522,451,548,170,94,216,95,53
"ENSMUSG00000035614.12","Togaram1",453,339,439,165,152,377,151,98
"ENSMUSG00000035597.20","Prpf39",465,363,419,149,187,244,150,98
"ENSMUSG00000020949.10","Fkbp3",2813,2284,2980,1112,265,365,193,176
"ENSMUSG00000055884.9","Fancm",90,95,143,59,59,119,47,34
"ENSMUSG00000047534.18","Mis18bp1",14,12,27,6,15,12,9,1
"ENSMUSG00000034912.19","Mdga2",14,6,32,8,1,0,0,1
"ENSMUSG00000034892.9","Rps29",6845,5247,5432,1994,3910,4665,1928,1514
"ENSMUSG00000034883.10","Lrr1",0,0,6,1,1,1,0,0
"ENSMUSG00000049751.7","Rpl36al",6,3,3,0,3,8,3,1
"ENSMUSG00000113149.2","Gm49383",3,6,13,1,7,10,9,3
"ENSMUSG00000113786.2","Gm49384",0,0,7,3,3,1,0,3
"ENSMUSG00000020974.7","Pole2",21,25,24,6,5,8,9,3
"ENSMUSG00000051890.14","Klhdc1",810,624,1062,472,2,1,6,6
"ENSMUSG00000020978.11","Klhdc2",2945,2376,2671,952,457,665,489,307
"ENSMUSG00000020982.10","Nemf",1388,1143,1466,543,417,672,333,234
"ENSMUSG00000044147.9","Arf6",745,572,675,202,624,930,408,236
"ENSMUSG00000049882.11","Vcpkmt",68,38,44,13,25,37,23,24
"ENSMUSG00000034801.14","Sos2",1907,1616,1618,619,163,351,224,139
"ENSMUSG00000020988.10","L2hgdh",1582,1384,1633,681,848,1258,778,690
"ENSMUSG00000054894.7","Dmac2l",667,562,681,259,62,90,97,93
"ENSMUSG00000020990.6","Cdkl1",325,264,345,114,4,4,6,3
"ENSMUSG00000034761.17","Map4k5",211,191,198,77,45,99,41,44
"ENSMUSG00000021066.10","Atl1",92,83,126,38,14,35,21,7
"ENSMUSG00000021067.9","Sav1",427,345,375,142,92,223,113,93
"ENSMUSG00000021068.18","Nin",819,733,992,357,43,79,34,24
"ENSMUSG00000021069.18","Pygl",128,154,150,44,11451,16424,4953,4426
"ENSMUSG00000021071.18","Trim9",18,22,2,1,2,4,0,0
"ENSMUSG00000021072.13","Tmx1",1301,996,1664,651,630,1232,554,345
"ENSMUSG00000048285.10","Frmd6",1594,1164,1442,509,79,134,71,40
"ENSMUSG00000021076.7","Actr10",1179,886,1019,476,597,954,476,440
"ENSMUSG00000060073.10","Psma3",1321,970,1374,420,1096,1815,1032,847
"ENSMUSG00000048118.18","Arid4a",675,553,654,269,277,500,231,128
"ENSMUSG00000021078.6","Tomm20l",1,2,1,0,0,1,0,1
"ENSMUSG00000021079.17","Timm9",530,446,384,151,474,625,437,367
"ENSMUSG00000034601.18","2700049A03Rik",198,157,215,66,90,114,43,33
"ENSMUSG00000044548.12","Dact1",42,37,47,17,8,15,22,10
"ENSMUSG00000034574.11","Daam1",4362,3348,2938,1214,855,1441,826,612
"ENSMUSG00000043398.6","Gpr135",16,7,13,10,18,20,6,6
"ENSMUSG00000019718.9","L3hypdh",174,178,230,96,237,340,256,241
"ENSMUSG00000005078.17","Jkamp",526,461,560,247,281,483,293,211
"ENSMUSG00000021086.6","Ccdc175",6,2,12,5,2,0,1,0
"ENSMUSG00000021087.19","Rtn1",53,35,113,43,24,30,16,4
"ENSMUSG00000021090.17","Lrrc9",7,7,14,6,1,1,0,0
"ENSMUSG00000034501.8","Pcnx4",293,235,266,110,143,185,127,83
"ENSMUSG00000109482.3","Dhrs7l",17,12,11,7,1856,2283,2305,1799
"ENSMUSG00000021094.11","Dhrs7",705,499,772,326,408,401,477,477
"ENSMUSG00000021096.12","Ppm1a",5415,4177,5054,1872,1336,2527,1872,1524
"ENSMUSG00000021098.16","4930447C04Rik",4,5,9,0,0,0,0,0
"ENSMUSG00000051367.9","Six1",73,53,64,25,0,0,0,0
"ENSMUSG00000034460.10","Six4",281,254,308,73,0,2,0,1
"ENSMUSG00000021103.13","Mnat1",340,306,374,141,147,169,96,80
"ENSMUSG00000034442.12","Trmt5",851,710,761,334,173,243,78,64
"ENSMUSG00000044712.16","Slc38a6",138,109,176,88,119,127,97,78
"ENSMUSG00000034435.7","Tmem30b",10,3,9,6,587,911,447,295
"ENSMUSG00000021108.19","Prkch",429,383,588,196,16,49,27,10
"ENSMUSG00000021113.6","Snapc1",595,453,466,219,131,182,79,63
"ENSMUSG00000046768.14","Rhoj",1011,878,734,241,62,86,30,20
"ENSMUSG00000021051.11","Ppp2r5e",1436,1168,1349,465,724,1344,769,566
"ENSMUSG00000045690.9","Wdr89",48,31,36,19,67,75,19,26
"ENSMUSG00000021054.7","Sgpp1",1026,737,942,346,993,1520,905,658
"ENSMUSG00000063450.15","Syne2",2012,1734,2411,761,420,828,432,241
"ENSMUSG00000021055.15","Esr2",3,3,1,0,1,0,0,0
"ENSMUSG00000021048.8","Mthfd1",509,417,525,169,2425,3103,1367,1193
"ENSMUSG00000021057.16","Akap5",67,36,188,87,16,12,5,3
"ENSMUSG00000056459.15","Zbtb25",183,133,213,78,56,59,30,26
"ENSMUSG00000033454.7","Zbtb1",415,268,458,212,118,254,141,86
"ENSMUSG00000059970.8","Hspa2",94,74,118,64,16,27,19,11
"ENSMUSG00000052221.9","Ppp1r36",1,1,1,1,1,0,0,2
"ENSMUSG00000052609.10","Plekhg3",510,395,620,238,621,810,538,323
"ENSMUSG00000021061.16","Sptb",7601,6495,7790,2964,11,12,16,11
"ENSMUSG00000090258.8","Churc1",2,2,1,0,0,0,0,0
"ENSMUSG00000033373.17","Fntb",360,280,383,123,140,150,57,36
"ENSMUSG00000059436.14","Max",1271,1058,1196,467,530,623,231,180
"ENSMUSG00000021065.17","Fut8",759,624,825,243,60,135,67,40
"ENSMUSG00000099418.4","Ccdc196",2,0,1,0,3,3,2,1
"ENSMUSG00000047454.13","Gphn",3307,3705,3818,1515,13114,21998,7666,5217
"ENSMUSG00000056987.9","Garin2",1,2,0,0,1,5,0,0
"ENSMUSG00000021112.10","Pals1",882,753,895,385,272,541,315,265
"ENSMUSG00000021114.10","Atp6v1d",1944,1752,1873,715,592,845,509,403
"ENSMUSG00000021116.11","Eif2s1",1208,967,1037,412,701,1211,576,485
"ENSMUSG00000021118.8","Plek2",10,7,9,2,6,8,11,4
"ENSMUSG00000046157.14","Tmem229b",156,136,219,72,34,55,42,19
"ENSMUSG00000060716.8","Plekhh1",110,83,45,32,2,8,5,2
"ENSMUSG00000021120.12","Pigh",91,72,74,33,41,54,32,30
"ENSMUSG00000021125.7","Arg2",23,41,16,7,20,27,19,7
"ENSMUSG00000021124.14","Vti1b",1904,1500,1805,752,749,955,490,482
"ENSMUSG00000066441.15","Rdh11",130,103,147,59,1454,2018,321,328
"ENSMUSG00000021123.13","Rdh12",6,10,3,2,0,6,0,2
"ENSMUSG00000066440.6","Zfyve26",654,507,699,262,626,961,464,236
"ENSMUSG00000059060.16","Rad51b",47,21,37,19,80,192,54,41
"ENSMUSG00000021127.9","Zfp36l1",2645,2037,1740,654,2249,4612,912,568
"ENSMUSG00000015143.16","Actn1",942,736,767,286,340,611,471,311
"ENSMUSG00000049106.8","Dcaf5",1581,1300,1925,782,692,1105,598,346
"ENSMUSG00000032705.10","Exd2",621,481,477,196,178,276,149,130
"ENSMUSG00000021130.9","Galnt16",153,138,215,62,1,5,1,0
"ENSMUSG00000021131.15","Erh",471,356,445,181,305,493,249,180
"ENSMUSG00000048833.10","Slc39a9",932,689,922,298,1328,2188,978,573
"ENSMUSG00000066438.7","Plekhd1",1,2,0,2,0,0,0,0
"ENSMUSG00000021133.10","Susd6",4695,3990,4273,1702,1064,3842,794,514
"ENSMUSG00000021134.18","Srsf5",1305,1010,3423,1157,2185,2173,1600,1093
"ENSMUSG00000021135.9","Slc10a1",7,11,8,3,5899,10553,8597,6833
"ENSMUSG00000021136.14","Smoc1",185,112,174,58,2240,2814,1271,1120
"ENSMUSG00000079055.11","Slc8a3",7,5,7,1,4,3,8,4
"ENSMUSG00000021139.18","S2bpcox16",18,14,23,0,15,22,1,5
"ENSMUSG00000008438.4","Adam21",5,4,1,1,4,5,0,0
"ENSMUSG00000002679.15","Med6",186,160,213,63,190,279,113,106
"ENSMUSG00000042734.7","Ttc9",81,75,54,12,1,6,1,1
"ENSMUSG00000042724.9","Map3k9",7,6,10,5,1,4,1,3
"ENSMUSG00000021140.10","Pcnx",4563,3743,4026,1558,454,832,431,292
"ENSMUSG00000042700.17","Sipa1l1",684,509,707,260,532,967,368,241
"ENSMUSG00000021219.17","Rgs6",472,414,468,216,4,9,0,0
"ENSMUSG00000021221.17","Dpf3",498,385,398,149,30,43,28,19
"ENSMUSG00000021222.10","Dcaf4",259,208,394,153,39,59,17,33
"ENSMUSG00000042628.9","Zfyve1",631,528,645,246,1422,2262,900,593
"ENSMUSG00000010608.16","Rbm25",1574,1351,1859,665,1163,1484,591,474
"ENSMUSG00000019969.15","Psen1",1098,900,937,341,852,1269,579,358
"ENSMUSG00000021223.14","Papln",594,436,1070,286,23,56,26,29
"ENSMUSG00000021224.16","Numb",1109,894,1319,447,690,1082,527,416
"ENSMUSG00000046791.9","Riox1",128,83,97,28,139,120,48,46
"ENSMUSG00000090843.3","Heatr4",2,4,13,1,2,0,0,0
"ENSMUSG00000021226.8","Acot2",2160,1690,3664,1154,23,46,30,40
"ENSMUSG00000072949.7","Acot1",458,362,890,262,104,137,120,141
"ENSMUSG00000052392.6","Acot4",4,2,12,0,2,5,7,3
"ENSMUSG00000021228.16","Acot3",25,21,31,4,40,48,11,81
"ENSMUSG00000043487.5","Acot6",122,110,145,43,15,17,7,13
"ENSMUSG00000042523.13","Dnal1",193,171,307,104,15,15,11,9
"ENSMUSG00000054383.3","Pnma1",12,5,5,1,1,1,2,2
"ENSMUSG00000042507.16","Mideas",767,674,785,273,198,297,138,80
"ENSMUSG00000072946.13","Ptgr2",4099,3415,4070,1560,543,1005,671,601
"ENSMUSG00000042472.12","Zfp410",635,487,543,214,449,654,254,182
"ENSMUSG00000021234.10","Fam161b",347,295,222,102,14,16,8,2
"ENSMUSG00000021235.14","Coq6",1644,1355,1539,587,302,460,143,176
"ENSMUSG00000021236.17","Entpd5",4772,3491,7155,3417,3278,4446,3760,2806
"ENSMUSG00000057265.14","Bbof1",62,50,54,13,7,12,4,4
"ENSMUSG00000021238.12","Aldh6a1",201,173,214,46,55,168,71,54
"ENSMUSG00000085793.4","Lin52",360,284,392,143,203,313,116,103
"ENSMUSG00000021240.7","Abcd4",299,216,307,99,181,202,143,88
"ENSMUSG00000021242.10","Npc2",1499,1237,1685,555,1471,1749,1168,943
"ENSMUSG00000021241.8","Isca2",1070,889,1110,336,372,520,335,324
"ENSMUSG00000002020.16","Ltbp2",351,271,200,86,25,34,18,4
"ENSMUSG00000042350.14","Arel1",1768,1453,2293,934,488,1079,645,417
"ENSMUSG00000021243.15","Fcf1",292,224,354,115,369,542,243,209
"ENSMUSG00000021244.16","Ylpm1",1346,1086,1107,415,383,626,283,261
"ENSMUSG00000042320.18","Prox2",44,25,63,19,26,36,25,25
"ENSMUSG00000004789.11","Dlst",22209,17851,19721,7715,3848,5084,2651,2288
"ENSMUSG00000019235.10","Rps6kl1",208,149,155,63,56,53,23,13
"ENSMUSG00000004791.8","Pgf",124,105,142,71,0,4,3,0
"ENSMUSG00000004788.12","Eif2b2",694,584,653,243,380,489,188,137
"ENSMUSG00000021245.16","Mlh3",604,427,582,193,226,360,170,118
"ENSMUSG00000008822.16","Acyp1",130,102,143,28,55,98,32,20
"ENSMUSG00000045064.6","Zc2hc1c",105,72,100,36,71,89,77,64
"ENSMUSG00000034290.10","Nek9",8194,6965,7627,2857,987,1514,979,615
"ENSMUSG00000021248.10","Tmed10",3064,2587,3248,1169,2121,3128,1507,969
"ENSMUSG00000021250.14","Fos",280,291,69,58,16,68,21,6
"ENSMUSG00000034271.17","Jdp2",289,254,204,88,31,33,15,11
"ENSMUSG00000034266.7","Batf",29,26,14,6,8,12,1,3
"ENSMUSG00000034258.5","Flvcr2",102,66,172,47,35,48,105,42
"ENSMUSG00000021252.12","Erg28",118,103,117,36,1315,1502,983,869
"ENSMUSG00000012609.20","Ttll5",361,346,381,156,150,264,146,107
"ENSMUSG00000021253.8","Tgfb3",309,210,226,67,4,14,8,4
"ENSMUSG00000007867.10","Ift43",507,370,489,193,69,79,53,44
"ENSMUSG00000021254.10","Gpatch2l",569,433,406,170,157,349,106,79
"ENSMUSG00000021255.18","Esrrb",1242,1068,1156,462,12,12,10,9
"ENSMUSG00000021256.6","Vash1",416,358,439,93,8,9,4,7
"ENSMUSG00000021257.16","Angel1",177,149,254,79,69,98,51,34
"ENSMUSG00000034168.8","Irf2bpl",1711,1379,1342,473,301,460,270,159
"ENSMUSG00000034157.13","Cipc",2270,1829,2048,785,719,977,569,528
"ENSMUSG00000048483.7","Zdhhc22",4,2,2,2,0,0,0,0
"ENSMUSG00000034145.15","Tmem63c",10,1,4,2,2,2,0,0
"ENSMUSG00000021032.14","Ngb",2,2,2,1,3,1,1,3
"ENSMUSG00000034126.6","Pomt2",620,479,482,172,403,564,324,180
"ENSMUSG00000021033.12","Gstz1",1070,791,1159,412,13721,21997,10949,12017
"ENSMUSG00000034111.7","Tmed8",539,447,596,204,64,117,65,52
"ENSMUSG00000090812.9","Samd15",9,4,6,0,1,4,2,0
"ENSMUSG00000072919.5","Noxred1",48,45,15,9,16,20,0,1
"ENSMUSG00000021038.18","Vipas39",916,753,826,294,253,413,242,213
"ENSMUSG00000021037.8","Ahsa1",4217,3133,2523,777,2567,3425,853,602
"ENSMUSG00000050671.13","Ism2",6,3,0,0,2,2,5,1
"ENSMUSG00000021036.11","Sptlc2",690,581,655,196,477,709,273,180
"ENSMUSG00000079036.11","Alkbh1",218,152,170,57,120,199,80,66
"ENSMUSG00000021040.16","Slirp",103,107,134,14,66,122,53,70
"ENSMUSG00000021039.10","Snw1",814,650,892,332,308,573,326,241
"ENSMUSG00000021044.16","Adck1",1040,863,1005,313,363,453,183,172
"ENSMUSG00000066392.13","Nrxn3",0,1,7,0,11,11,5,3
"ENSMUSG00000007682.9","Dio2",149,87,37,23,0,0,0,0
"ENSMUSG00000061533.17","Cep128",251,184,378,146,25,21,12,15
"ENSMUSG00000020963.16","Tshr",6,3,4,1,0,0,1,0
"ENSMUSG00000020962.15","Gtf2a1",652,435,667,234,378,522,212,205
"ENSMUSG00000020961.16","Ston2",311,216,370,140,280,468,158,105
"ENSMUSG00000020964.16","Sel1l",2709,2287,2599,1035,4655,7012,1979,1081
"ENSMUSG00000047414.7","Flrt2",211,143,228,82,8,11,7,10
"ENSMUSG00000021003.11","Galc",343,338,350,121,93,122,94,97
"ENSMUSG00000021886.8","Gpr65",0,2,0,0,3,3,1,0
"ENSMUSG00000033854.11","Kcnk10",0,2,3,3,51,117,68,44
"ENSMUSG00000021007.15","Spata7",87,95,134,63,17,16,24,12
"ENSMUSG00000021009.16","Ptpn21",1684,1383,1283,435,300,459,269,134
"ENSMUSG00000021012.17","Zc3h14",1738,1428,1636,633,572,966,525,360
"ENSMUSG00000051166.11","Eml5",183,141,205,73,84,124,74,34
"ENSMUSG00000021013.17","Ttc8",67,65,125,44,66,100,94,67
"ENSMUSG00000033713.13","Foxn3",2416,2053,2506,859,833,1263,759,511
"ENSMUSG00000021176.7","Efcab11",4,5,8,1,0,2,0,2
"ENSMUSG00000021177.17","Tdp1",264,222,239,83,82,110,48,51
"ENSMUSG00000045404.17","Kcnk13",17,32,45,11,12,40,10,10
"ENSMUSG00000021178.10","Psmc1",2763,2393,2965,1091,2358,2918,1482,1247
"ENSMUSG00000021179.9","Nrde2",237,188,438,146,263,306,98,71
"ENSMUSG00000001175.17","Calm1",6592,4946,5021,1983,3697,6350,2312,1908
"ENSMUSG00000033530.9","Ttc7b",2085,1687,1996,613,230,406,221,122
"ENSMUSG00000021180.10","Rps6ka5",284,185,456,205,33,52,24,39
"ENSMUSG00000021185.17","Dglucy",1975,1472,2061,843,623,939,693,654
"ENSMUSG00000047415.13","Gpr68",2,2,1,0,1,0,0,0
"ENSMUSG00000021182.17","Ccdc88c",197,214,396,147,26,25,13,14
"ENSMUSG00000041846.16","Ppp4r3a",444,378,417,125,398,895,428,263
"ENSMUSG00000047014.8","Catsperb",0,0,0,0,3,4,0,0
"ENSMUSG00000021187.15","Tc2n",7,0,4,2,24,41,53,30
"ENSMUSG00000021186.10","Fbln5",759,562,772,235,84,134,91,44
"ENSMUSG00000021188.15","Trip11",2843,2478,2308,782,552,1044,374,247
"ENSMUSG00000021189.12","Atxn3",397,329,465,157,341,588,274,189
"ENSMUSG00000113902.2","Ndufb1",4741,3519,3945,1566,895,1619,815,895
"ENSMUSG00000041781.10","Cpsf2",884,757,881,321,475,907,322,224
"ENSMUSG00000041771.15","Slc24a4",11,6,5,5,0,1,0,0
"ENSMUSG00000044456.17","Rin3",789,712,615,150,447,535,208,172
"ENSMUSG00000021190.15","Lgmn",2115,1632,2423,928,1580,1978,1271,647
"ENSMUSG00000021192.17","Golga5",999,852,1057,297,596,914,367,244
"ENSMUSG00000057963.10","Itpk1",316,253,275,86,655,721,224,124
"ENSMUSG00000098530.2","Gm28051",11,8,10,7,4,9,4,0
"ENSMUSG00000041712.8","Ubr7",967,817,1011,386,245,505,232,187
"ENSMUSG00000041702.8","Btbd7",1465,1188,1571,613,293,535,216,200
"ENSMUSG00000021198.17","Unc79",2,3,2,0,0,4,9,3
"ENSMUSG00000041669.16","Prima1",5,4,5,9,2,0,1,0
"ENSMUSG00000021200.15","Asb2",15850,12180,10024,4512,51,56,10,20
"ENSMUSG00000021203.16","Otub2",314,237,160,57,40,80,23,13
"ENSMUSG00000041645.15","Ddx24",2472,2158,2537,899,842,1232,517,438
"ENSMUSG00000064215.14","Ifi27",582,515,517,203,3335,4173,1940,1190
"ENSMUSG00000079017.4","Ifi27l2a",425,307,481,117,74,124,117,51
"ENSMUSG00000021208.10","Ifi27l2b",5,6,10,5,171,221,131,83
